pid, process_name, used_gpu_memory [MiB]
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
95668, /usr/bin/nautilus, 26 MiB
97492, /usr/bin/ollama, 5188 MiB
97720, /usr/bin/ollama, 730 MiB
